endTime,artistName,trackName,msPlayed
2021-05-28 16:51,Goldroom,City Girls,295250
2021-05-28 16:55,Foster The People,Pumped Up Kicks,239600
2021-05-28 16:59,Empire of the Sun,We Are The People,272174
2021-05-28 17:02,David Zowie,House Every Weekend - Radio Edit,182767
2021-05-28 17:06,Capital Cities,Kangaroo Court,223186
2021-05-28 17:10,Blur,Girls & Boys,259386
2021-05-28 17:14,8D Tunes,Everywhere (8D Audio),231368
2021-05-28 17:15,8D Tunes,Everywhere (8D Audio),28540
2021-05-28 17:19,Robin Schulz,Sugar (feat. Francesco Yates),219043
2021-05-28 17:22,Cage The Elephant,Come A Little Closer,229347
2021-05-28 17:26,Vantage,Dancing All Night,235000
2021-05-28 17:28,Poncho,Please Me,115585
2021-05-28 17:28,Rebel Cats,La Dosis Perfecta,20766
2021-05-28 17:29,Los Gatos,Eres Un Hada Al Fin - Edit,7872
2021-05-28 17:29,Los Gatos,Quizás No Comprendan,17586
2021-05-28 17:29,Los Gatos,Quizás No Comprendan,0
2021-05-28 17:30,Aaron Air,Airflow,60705
2021-05-28 17:31,Aaron Air,Calm,60019
2021-05-28 17:32,Aaron Air,Headwind,60033
2021-05-28 17:33,Aaron Air,Lay,60027
2021-05-28 17:34,Aaron Air,Melody,60033
2021-05-28 17:35,Aaron Air,Puff,60119
2021-05-28 17:36,Aaron Air,Song,60015
2021-05-28 17:37,Aaron Air,Strain,60084
2021-05-28 17:38,Aaron Air,Tune,60119
2021-05-28 17:39,Aaron Air,Warble,60016
2021-05-28 17:40,Aaron Air,Blast,60017
2021-05-28 17:41,Aaron Air,Breath,60053
2021-05-28 17:42,Aaron Air,Breeze,60032
2021-05-28 17:43,Aaron Air,Draft,60209
2021-05-28 17:44,Aaron Air,Heavens,60050
2021-05-28 17:45,Aaron Air,Ozone,60008
2021-05-28 17:46,Aaron Air,Sky,60191
2021-05-28 17:47,Aaron Air,Stratosphere,60059
2021-05-28 17:48,Aaron Air,Whiff,60017
2021-05-28 17:49,Aaron Air,Wind,60035
2021-05-28 17:50,Aaron Air,Zephyr,60010
2021-05-28 17:51,Falco Fire,Glow I,60017
2021-05-28 17:52,Falco Fire,Glow II,60017
2021-05-28 17:53,Falco Fire,Glow III,78688
2021-05-28 17:54,Falco Fire,Luminosity I,60800
2021-05-28 17:55,Falco Fire,Luminosity II,60800
2021-05-28 17:56,Falco Fire,Luminosity III,81790
2021-05-28 17:57,Falco Fire,Sea Of Flames I,60200
2021-05-28 17:58,Falco Fire,Sea Of Flames II,60200
2021-05-28 18:00,Falco Fire,Sea Of Flames III,86119
2021-05-28 18:01,Falco Fire,Sparks I,60197
